run,precision,recall,f1,accuracy
001,0.05537757437070938,1.0,0.1049436253252385,0.05537757437070938
002,0.48760330578512395,0.6555555555555556,0.5592417061611373,0.9574370709382151
003,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.9762013729977117
004,0.6222222222222222,0.8484848484848485,0.7179487179487178,0.9798627002288329
005,0.35195530726256985,0.7974683544303798,0.48837209302325585,0.9395881006864989
006,0.5656565656565656,0.7466666666666667,0.6436781609195402,0.9716247139588101
007,0.24528301886792453,0.9454545454545454,0.3895131086142322,0.9254004576659038
008,0.17209302325581396,0.7872340425531915,0.2824427480916031,0.9139588100686499
009,0.1782178217821782,0.8571428571428571,0.2950819672131147,0.9212814645308924
010,0.25510204081632654,0.6944444444444444,0.373134328358209,0.9615560640732266
011,0.19166666666666668,0.7666666666666667,0.3066666666666667,0.9524027459954233
012,0.27472527472527475,0.8064516129032258,0.40983606557377045,0.9670480549199084
013,0.13846153846153847,0.7714285714285715,0.23478260869565218,0.9194508009153318
014,0.13147410358565736,0.8918918918918919,0.22916666666666663,0.8983981693363844
015,0.09905660377358491,0.7777777777777778,0.17573221757322177,0.9098398169336385
016,0.09615384615384616,0.6578947368421053,0.1677852348993289,0.8864988558352402
017,0.06593406593406594,0.782608695652174,0.12162162162162163,0.8810068649885584
018,0.05701754385964912,0.8666666666666667,0.10699588477366255,0.9006864988558353
019,0.07142857142857142,0.9090909090909091,0.1324503311258278,0.880091533180778
020,0.0425531914893617,0.75,0.08053691275167785,0.8745995423340961
021,0.06993006993006994,0.7692307692307693,0.12820512820512822,0.8755148741418765
022,0.07876712328767123,0.8518518518518519,0.14420062695924765,0.8750572082379863
023,0.06923076923076923,0.9,0.1285714285714286,0.888329519450801
024,0.0738255033557047,0.7857142857142857,0.13496932515337423,0.8709382151029749
025,0.08552631578947369,0.6046511627906976,0.14985590778097985,0.8649885583524027
026,0.3627450980392157,0.7708333333333334,0.49333333333333335,0.9652173913043478
027,0.256,0.7441860465116279,0.38095238095238093,0.9524027459954233
028,0.3595505617977528,0.8205128205128205,0.5,0.9707093821510298
029,0.19727891156462585,0.7631578947368421,0.31351351351351353,0.9418764302059497
030,0.15760869565217392,0.8787878787878788,0.2672811059907834,0.9272311212814646
031,0.14215686274509803,0.8529411764705882,0.2436974789915966,0.9176201372997712
032,0.45714285714285713,0.4,0.42666666666666664,0.9803203661327231
