run,precision,recall,f1,accuracy,roc_auc,pr_auc,prevalence,precision_over_prev,recall_over_prev,f1_over_prev,accuracy_over_prev,roc_auc_over_prev,pr_auc_over_prev
1,0.352622061482821,0.36312849162011174,0.35779816513761475,0.9923357384516002,0.6796746167129488,0.29383502473001444,0.005879583302885294,59.97398851544095,61.760922996347944,60.85434064043826,168.77654203226106,115.59911335543309,49.97548458677684
2,0.257847533632287,0.44061302681992337,0.32531824611032534,0.9895044886463651,0.7174410370629263,0.31475334595724724,0.0057428269647061825,44.89906020448574,76.72406456398713,56.64775346874298,172.3026820636569,124.92820025261415,54.80808457082788
3,0.20067739204064353,0.474,0.28197501487209997,0.986656938502526,0.7331190764681689,0.2875851668991583,0.005527365952730179,36.30615265152134,85.75513256289338,51.01435607548685,178.5040011716934,132.63443794707553,52.02933356658046
4,0.16944444444444445,0.505175983436853,0.2537701508060322,0.9840594521339229,0.7477437974967107,0.27942588330373563,0.005365354940295219,31.58121807969727,94.15518433698564,47.29792411311915,183.4099445580718,139.36520618253215,52.07966414396448
5,0.14533492822966507,0.5237068965517241,0.22752808988764042,0.9815817380141765,0.7560585129515895,0.25834049734726355,0.00517943874001503,28.059976287941062,101.11267317551174,43.92910145452945,189.51507823245885,145.9730582602461,49.87808724358305
6,0.12944297082228118,0.5422222222222223,0.20899357601713064,0.9792816440077176,0.764488576718503,0.2416425316685814,0.005047785583883524,25.643516086650806,107.41783960741505,41.403021690224215,194.0022268644591,151.45028726246773,47.87099761925174
7,0.11809889582333173,0.5590909090909091,0.19500594530321044,0.9771054322462829,0.772190933705191,0.23534567037883083,0.004959926009178162,23.810616449679703,112.72162287427913,39.316301279970524,197.00000170127237,155.68597843521857,47.44943169380597
8,0.1132657558395769,0.5908045977011495,0.1900887573964497,0.9751908829326869,0.7873762642807969,0.252550663399222,0.00492783822119236,22.984877091231024,119.89123245977746,38.57447198225088,197.89425690535873,159.78127303259564,51.24978785081013
9,0.1049610496104961,0.5981308411214953,0.1785838855946983,0.9731889750333003,0.7905691344899898,0.2480828168525291,0.004872662015259266,21.540802395446118,122.75237626750719,36.65016884722224,199.7242927963512,162.24583851993785,50.91320023339009
10,0.09953881629515757,0.6137440758293838,0.17129629629629628,0.9713272311212815,0.7977758089723402,0.24305637432280203,0.004828375298529863,20.615385122499696,127.11192438091044,35.477005349698544,201.17061559341292,165.22655337401918,50.33916365134406
11,0.09433962264150944,0.625,0.1639344262295082,0.969504271931741,0.8027605581804819,0.2394739996793269,0.004783643409609795,19.72129077430644,130.65355137978014,34.269783968466925,202.67068192920013,167.81362853423133,50.06100563395903
12,0.08924879393521709,0.6317073170731707,0.15640096618357488,0.9677091278921942,0.8055598715969046,0.24126711780349389,0.004738460294902325,18.834977689109625,133.3148908629174,33.006706071132925,204.22438253482125,170.00456297239268,50.916775236684174
13,0.08544199802826158,0.6435643564356436,0.15085581665216127,0.966000302013033,0.8110189029931761,0.2378760157965542,0.004692818038165569,18.20697016875195,137.13814411760444,32.14610398811267,205.84652849455978,172.8212976504422,50.68937552275953
14,0.08278249921309411,0.6608040201005025,0.14713286713286713,0.9644024657918087,0.8192658373623813,0.23844930542628484,0.004646710120141506,17.815292340761108,142.20900443868857,31.663879030264642,207.54521819890064,176.31094175881844,51.31572645186297
15,0.08014571948998178,0.6700507614213198,0.14316702819956617,0.9629173267617204,0.8235934533260458,0.24539479628313937,0.004623599350452423,17.334053713399594,144.91972825365042,30.964410483697545,208.26141146237035,178.1282050845207,53.07440755201406
16,0.07604562737642585,0.6753246753246753,0.13669821240799157,0.9612635353511524,0.8258487770805143,0.24020821140107118,0.004541272297501564,16.745445415872393,148.7082542256304,30.101302774378393,211.67273670860988,181.85405388152236,52.89447442586181
17,0.07276330690826727,0.6763157894736842,0.13139059304703476,0.9597111725021046,0.8260095225916293,0.23561295303502322,0.004505519289523363,16.149815866389257,150.10828852654438,29.162141942784693,213.00789339282397,183.33281238243515,52.29429459616155
18,0.071389346512905,0.6842105263157895,0.12928891098955744,0.9582618230358505,0.8299009392825005,0.24897158615657192,0.004528985358774662,15.762768226793234,151.0736891631078,28.546992482337625,211.58421746258696,183.24213340072137,54.9729280255241
19,0.06963713980789754,0.6923076923076923,0.12654545454545454,0.9568332394838679,0.8335620223253492,0.2496979463758599,0.0045167552307248116,15.417514620716506,153.27545039375457,28.016894447731136,211.84084383742956,184.5488585821787,55.28259416789128
20,0.06883116883116883,0.7066666666666667,0.1254437869822485,0.95549801276647,0.8403482749581594,0.2572521511857117,0.004516439978033304,15.240138065809422,156.4654174756434,27.77492617910829,211.55999358205665,186.06430707490358,56.959054573273185
21,0.0679340937896071,0.7262872628726287,0.12424663885025498,0.9542576247381739,0.8493751255740811,0.24279853427320675,0.004467690829187632,15.205638972551663,162.56435161711735,27.810035116697406,213.59079247470854,190.115018708339,54.34541993975784
22,0.06550868486352357,0.7252747252747253,0.12016385980883021,0.9529431812649106,0.8486559380320385,0.2349674032897853,0.0044305953197181225,14.785526579685747,163.69690141794933,27.12138011658332,215.08242403089469,191.5444487234349,53.03291913031996
23,0.0639280505590666,0.7305555555555555,0.11756817165847117,0.9516881019102045,0.8510439499283696,0.2351633320445326,0.004405340179800987,14.51149013467436,165.8340844834731,26.687648821658616,216.03055906415776,193.18461576032382,53.38142400961103
24,0.06221692491060787,0.7372881355932204,0.11475049461420093,0.9504564356192022,0.8546124489816433,0.25335825366441533,0.004355208016932011,14.285637946275653,169.28884515431176,26.347879175478727,218.23445216027665,196.22769926467666,58.17362860267956
